SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,SurveyDate,Quadrat_Number,CountA,CountB
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,1,0,3
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,1,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,1,2,0
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,1,2,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,1,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,1,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,1,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,1,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,1,4,4
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,9,2,2
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,9,2,1
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,9,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,9,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,9,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,10002,Diaperoecia californica,Southern staghorn bryozoan,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11008,Pachythyone rubra,aggregated red sea cucumber,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,11010,Ophiothrix spiculata,spiny brittle star,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,12001,Tunicata,tunicates,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,13002,Miscellaneous Invertebrates excluding Ophiothrix spiculata,Miscellaneous Invertebrates excluding Ophiothrix spiculata,2022,6/1/2022,9,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,15001,Bare Substrate,Bare Substrate,2022,6/1/2022,9,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,15002,Rock,Rock,2022,6/1/2022,9,3,3
12,AN,Anacapa Island,CC,Cathedral Cove,15003,Cobble,Cobble,2022,6/1/2022,9,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,15004,Sand,Sand,2022,6/1/2022,9,1,1
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,18,2,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,18,2,0
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,18,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,18,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6003,Corynactis californicus,club-tipped anemone,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6004,Balanophyllia elegans,orange cup coral,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,6005,Astrangia lajollaensis,La Jolla cup coral,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7001,Diopatra ornata,ornate tube worm,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,7002,Phragmatopoma californica,colonial sand-tube worm,2022,6/1/2022,18,0,1
12,AN,Anacapa Island,CC,Cathedral Cove,9001,Serpulorbis squamigerus,scaled wormsnail,2022,6/1/2022,18,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,10001,Bryozoa,bryozoans (miscellaneous),2022,6/1/2022,18,1,1
