SiteNumber,IslandCode,IslandName,SiteCode,SiteName,Species,ScientificName,CommonName,SurveyYear,SurveyDate,Quadrat_Number,CountA,CountB,CountC,CountD
12,AN,Anacapa Island,CC,Cathedral Cove,1001,Chlorophyta,green algae,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2001,Phaeophyta,brown algae (miscellaneous),2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2003,Desmarestia,acid weed,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2007,Cystoseira,bladder chain kelp,2022,6/1/2022,1,1,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2010,Macrocystis pyrifera,"giant kelp, all",2022,6/1/2022,1,3,1,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2012,Eisenia arborea,"Southern sea palm, all",2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2013,Pterygophora californica,"California sea palm, all",2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,2014,Laminaria farlowii,"oar weed, all",2022,6/1/2022,1,3,4,7,8
12,AN,Anacapa Island,CC,Cathedral Cove,2017,Sargassum horneri,"Sargassum horneri, all",2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3001,Rhodophyta,red algae (miscellaneous),2022,6/1/2022,1,2,3,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3002,Corallinales,articulated coralline algae,2022,6/1/2022,1,3,2,5,2
12,AN,Anacapa Island,CC,Cathedral Cove,3003,Corallinales,encrusting coralline algae,2022,6/1/2022,1,2,0,1,0
12,AN,Anacapa Island,CC,Cathedral Cove,3004,Gelidium,agar weed,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,3005,Gigartina,sea tongue,2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,4001,Plantae,miscellaneous plants (ie: diatoms),2022,6/1/2022,1,0,0,0,0
12,AN,Anacapa Island,CC,Cathedral Cove,5001,Porifera,sponges,2022,6/1/2022,1,0,0,0,0
